Area,Location,Bedrooms,Bathrooms,Year Built,Nearby Metro,Price
3799,Chennai,4,3,1995,Yes,149.21
3952,Pune,4,2,2013,Yes,154.65
1498,Mumbai,2,1,2010,Yes,65.84
2960,Mumbai,1,1,2014,No,91.25
801,Kolkata,4,1,2009,No,57.24
1441,Mumbai,3,3,2019,Yes,79.91
3067,Chennai,4,1,2012,No,129.98
2389,Chennai,3,1,1999,No,80.52
1654,Delhi,2,1,2013,No,64.53
2559,Kolkata,4,1,2003,No,107.83
3232,Delhi,1,3,2002,Yes,111.2
2461,Kolkata,3,3,2015,Yes,112.26
1953,Bangalore,1,2,2009,No,66.21
1876,Chennai,3,1,2012,No,90.73
2507,Pune,5,1,2022,Yes,115.5
3577,Chennai,1,3,2014,No,130.46
2495,Delhi,1,2,2003,Yes,91.42
2533,Kolkata,1,3,2019,Yes,106.4
2239,Hyderabad,1,2,1998,No,63.39
3094,Kolkata,1,3,1997,No,112.59
1635,Mumbai,2,3,2011,Yes,73.59
1002,Kolkata,4,1,2011,Yes,57.96
922,Delhi,1,2,2018,No,44.53
1200,Delhi,5,2,2005,No,57.49
1566,Hyderabad,3,1,2006,Yes,76.29
1093,Delhi,2,1,2005,Yes,62.0
3127,Bangalore,4,3,2022,No,120.07
3731,Bangalore,2,1,2004,No,132.88
997,Bangalore,2,1,2001,Yes,57.08
3829,Kolkata,5,3,2000,No,129.09
2730,Pune,4,1,2001,Yes,137.03
3599,Bangalore,5,3,2022,Yes,151.21
2991,Pune,5,2,2006,No,127.17
1408,Chennai,4,3,1997,No,71.64
1947,Kolkata,2,3,1999,Yes,80.75
986,Chennai,2,1,2006,No,40.29
3311,Bangalore,2,3,1998,Yes,124.76
2594,Chennai,5,3,2012,Yes,120.78
1459,Chennai,4,1,2000,No,74.24
3611,Kolkata,2,2,2003,No,119.64
3802,Mumbai,3,3,2020,No,121.32
2755,Bangalore,5,2,2016,No,119.88
3250,Kolkata,1,1,2000,No,82.53
2169,Bangalore,2,3,2011,No,91.48
2786,Delhi,5,1,2019,No,123.71
2334,Delhi,4,2,2015,No,95.41
946,Chennai,4,2,2002,Yes,80.72
3711,Delhi,1,1,2011,Yes,147.62
2534,Mumbai,2,1,2011,Yes,96.31
2643,Bangalore,1,3,2004,Yes,105.16
1288,Mumbai,4,3,2003,Yes,81.71
3776,Bangalore,2,1,2003,No,133.94
2759,Pune,3,3,2014,Yes,102.85
2463,Hyderabad,3,1,1999,Yes,104.91
3398,Bangalore,3,2,2017,Yes,149.45
3185,Hyderabad,1,1,2017,Yes,103.49
3719,Hyderabad,2,3,1998,No,140.44
1440,Kolkata,3,1,2001,Yes,51.89
2602,Mumbai,1,2,2001,No,96.81
3320,Chennai,2,3,2019,No,111.81
2769,Delhi,4,1,1998,No,99.59
2998,Delhi,3,1,1997,Yes,129.69
2238,Kolkata,3,2,1997,No,78.78
2434,Kolkata,1,2,2021,No,88.44
1062,Mumbai,1,2,1996,No,24.33
2587,Delhi,3,3,1998,No,103.94
2991,Chennai,4,1,2016,No,119.1
3193,Delhi,1,3,2021,No,116.31
1423,Pune,1,1,2002,No,53.26
1816,Bangalore,3,2,2006,No,84.8
1680,Kolkata,1,2,2004,Yes,58.56
2849,Kolkata,3,1,2013,No,89.91
3744,Pune,3,3,2013,Yes,147.01
2127,Bangalore,2,2,2008,Yes,100.92
3101,Kolkata,1,3,2016,Yes,114.65
1252,Pune,3,3,2001,Yes,54.07
3908,Delhi,1,3,1996,No,139.47
1983,Delhi,5,3,2012,Yes,112.54
3862,Chennai,5,2,1998,Yes,162.31
2856,Pune,5,2,2020,Yes,119.84
3970,Kolkata,2,2,2000,No,120.51
2482,Bangalore,2,1,2008,Yes,104.62
3663,Hyderabad,5,3,2004,No,174.72
3055,Bangalore,4,1,2022,Yes,104.64
1954,Delhi,1,2,1999,Yes,87.93
1203,Delhi,2,2,2015,No,43.24
2999,Kolkata,3,1,2010,No,109.27
2901,Delhi,1,1,2019,No,107.53
3991,Hyderabad,3,1,1996,No,148.37
2496,Pune,4,3,2010,No,112.17
1427,Bangalore,2,2,2004,No,73.42
1386,Pune,3,1,2009,Yes,58.79
2448,Kolkata,5,2,2009,No,100.12
2243,Bangalore,2,2,2019,Yes,112.99
2245,Bangalore,3,1,1998,Yes,94.89
903,Kolkata,2,3,2000,No,43.18
1053,Chennai,3,3,2001,No,45.82
3983,Delhi,5,1,2003,Yes,131.81
3357,Pune,5,3,2010,No,138.79
2296,Pune,3,2,2022,No,108.35
898,Delhi,3,2,2004,No,42.87
3000,Pune,2,2,2001,Yes,121.81
2684,Chennai,3,2,2008,No,100.0
3761,Pune,5,3,2019,Yes,166.85
2719,Kolkata,3,3,2010,Yes,116.34
1677,Kolkata,2,1,2008,Yes,87.32
1137,Kolkata,2,1,2001,Yes,57.3
3669,Bangalore,3,3,2000,Yes,137.25
1756,Delhi,4,3,2011,No,71.77
2504,Delhi,1,2,2013,No,68.63
960,Chennai,5,2,2003,No,49.35
2403,Hyderabad,2,3,2013,Yes,90.81
3648,Pune,2,3,2009,Yes,145.69
1197,Bangalore,4,3,1997,Yes,66.22
2100,Mumbai,4,3,2002,No,85.21
1615,Bangalore,2,2,1996,Yes,63.08
2327,Bangalore,3,1,1997,Yes,110.87
2719,Pune,3,2,2016,No,92.82
2215,Mumbai,5,2,2012,Yes,102.8
1958,Chennai,1,2,2013,No,48.48
2018,Pune,4,2,2004,Yes,97.71
1200,Delhi,2,2,2012,No,61.36
1439,Mumbai,5,2,1997,Yes,95.73
3904,Delhi,5,2,2013,No,147.56
3535,Mumbai,1,1,2018,Yes,131.2
1259,Delhi,4,1,1997,No,67.3
1754,Pune,3,1,2012,Yes,89.25
1269,Hyderabad,3,1,2014,Yes,53.96
1845,Mumbai,4,3,2006,No,91.95
3597,Kolkata,5,3,1995,No,144.79
2493,Chennai,5,3,2014,No,121.06
2885,Pune,5,2,2016,Yes,120.42
3077,Mumbai,2,2,2002,Yes,119.42
1362,Kolkata,3,1,2008,No,33.53
3285,Kolkata,2,1,2001,No,109.92
2599,Delhi,1,2,2019,Yes,100.83
2874,Bangalore,3,2,2021,Yes,119.69
1025,Hyderabad,4,2,2011,No,59.38
1597,Mumbai,5,2,2021,No,89.62
3131,Kolkata,1,1,2014,Yes,107.06
3726,Hyderabad,4,2,2019,No,136.46
1759,Pune,2,2,1995,No,81.54
2304,Delhi,2,3,2011,No,92.6
1252,Pune,5,1,1996,No,72.4
3867,Delhi,4,3,2016,No,145.16
1615,Pune,3,3,2017,No,58.82
1458,Mumbai,5,2,2000,No,52.19
1346,Hyderabad,3,3,1996,No,49.5
2015,Mumbai,1,2,2022,Yes,77.15
3920,Hyderabad,5,3,2000,No,166.09
816,Mumbai,4,3,2011,No,59.11
2043,Kolkata,3,2,2010,Yes,105.02
3005,Kolkata,5,1,2002,Yes,107.99
3324,Delhi,3,3,2007,Yes,129.76
1869,Chennai,1,2,2010,Yes,87.28
3365,Kolkata,1,1,2017,No,106.77
2946,Kolkata,1,1,2008,Yes,84.02
2568,Pune,4,2,2009,No,105.09
1860,Chennai,1,3,2015,No,69.97
3127,Chennai,1,2,2008,Yes,106.66
3344,Chennai,5,1,2002,Yes,136.99
1101,Bangalore,2,1,2019,Yes,45.93
980,Hyderabad,5,2,2019,No,79.56
1406,Hyderabad,4,2,2008,Yes,77.73
3970,Pune,4,2,2009,No,116.96
1499,Bangalore,1,1,2014,Yes,52.25
1792,Pune,4,2,2009,No,98.46
1939,Bangalore,3,1,2001,No,68.89
990,Kolkata,3,2,2018,Yes,72.14
3100,Kolkata,3,3,1995,Yes,122.18
1780,Pune,5,1,2005,No,66.12
3775,Mumbai,2,1,1995,Yes,120.77
2806,Chennai,2,3,2017,Yes,126.07
1984,Kolkata,2,1,2002,Yes,93.99
927,Hyderabad,5,3,2011,Yes,72.16
2865,Kolkata,5,1,2009,No,118.59
2616,Delhi,3,2,2003,No,87.77
2558,Chennai,1,1,2013,Yes,98.67
3413,Kolkata,5,2,2003,No,120.96
1369,Kolkata,4,2,2003,Yes,78.47
2146,Hyderabad,1,2,2011,Yes,124.16
2695,Hyderabad,4,3,2008,No,103.69
3533,Pune,4,3,1999,Yes,156.08
1425,Delhi,4,3,2018,No,47.04
3701,Chennai,2,1,2005,Yes,121.72
2486,Kolkata,1,3,2004,Yes,100.18
3809,Pune,5,2,2012,No,138.66
954,Kolkata,2,3,2005,No,35.93
3337,Chennai,5,3,2004,No,139.55
2209,Pune,5,3,1998,Yes,108.56
1584,Bangalore,1,3,2015,Yes,53.68
3975,Hyderabad,2,2,2001,No,130.86
1045,Kolkata,3,3,2001,No,50.57
3910,Bangalore,4,1,2012,Yes,152.27
2300,Mumbai,3,1,1995,No,90.39
2505,Delhi,4,2,2022,No,106.54
3606,Hyderabad,4,2,2006,Yes,136.54
1337,Kolkata,3,2,2019,Yes,65.84
2690,Bangalore,5,3,1999,No,113.13
2641,Pune,2,1,2004,Yes,79.39
1720,Chennai,4,2,2010,No,78.5
3255,Mumbai,2,3,1996,Yes,139.8
1324,Chennai,1,2,2015,Yes,52.08
3675,Chennai,2,2,2002,Yes,125.02
2329,Delhi,1,1,2003,Yes,77.3
3750,Chennai,4,2,1996,Yes,163.24
835,Delhi,5,2,2019,Yes,61.24
1484,Pune,5,1,1999,No,70.22
819,Chennai,5,1,2018,Yes,44.73
3168,Chennai,1,2,1996,No,105.37
3359,Chennai,2,1,1996,No,117.75
1199,Pune,4,1,2015,No,67.23
3501,Bangalore,5,3,2002,Yes,153.11
1771,Bangalore,4,3,1999,No,81.09
2706,Pune,4,3,2009,Yes,112.96
3318,Mumbai,4,1,1996,No,129.66
1966,Mumbai,1,1,2000,No,56.34
1915,Kolkata,2,2,2000,No,82.7
1633,Delhi,5,1,1996,Yes,92.8
2623,Pune,2,2,2021,Yes,106.14
3574,Kolkata,5,1,1999,Yes,152.85
2782,Hyderabad,1,2,2021,No,79.87
1653,Mumbai,3,3,2015,Yes,86.44
850,Delhi,1,2,2010,No,50.62
1374,Kolkata,2,1,1999,No,73.59
1948,Chennai,5,1,2002,No,88.29
2997,Kolkata,2,1,2012,Yes,90.95
3161,Chennai,2,3,2009,No,104.54
3417,Mumbai,1,2,2012,Yes,123.94
3152,Hyderabad,2,1,2017,No,130.35
2515,Delhi,1,3,2008,No,99.8
1481,Delhi,2,3,2010,No,67.69
1637,Hyderabad,3,3,2013,No,81.98
1877,Bangalore,4,1,2015,No,100.73
3850,Hyderabad,3,3,2008,No,138.77
3291,Mumbai,5,3,1998,Yes,131.19
3460,Bangalore,1,3,2016,No,122.9
3840,Pune,4,3,2022,No,149.39
3111,Delhi,2,1,1997,Yes,109.34
3924,Hyderabad,1,1,2012,No,119.26
2395,Bangalore,5,1,1997,Yes,103.4
3851,Delhi,3,3,1995,Yes,173.0
804,Pune,2,3,2015,No,55.3
1926,Bangalore,5,2,2002,No,65.13
2019,Hyderabad,1,2,2011,Yes,73.66
1573,Pune,5,1,2003,No,79.86
1676,Delhi,4,1,2000,No,80.66
1791,Delhi,4,3,2010,Yes,74.15
3731,Hyderabad,2,3,2016,Yes,139.82
846,Chennai,5,3,1998,No,64.98
3714,Delhi,2,1,1999,No,121.62
3670,Chennai,1,2,2012,No,118.23
3783,Pune,5,2,2012,Yes,153.41
3503,Kolkata,1,3,2009,Yes,129.25
1068,Mumbai,1,2,2001,Yes,58.81
1169,Pune,5,2,1997,No,41.66
1435,Kolkata,1,2,2003,Yes,82.36
1929,Kolkata,4,1,2013,Yes,98.95
2493,Hyderabad,2,2,2008,Yes,88.11
2482,Chennai,2,2,2014,Yes,104.83
1456,Hyderabad,2,1,2001,No,61.92
919,Mumbai,2,2,2011,Yes,47.4
1630,Chennai,4,2,2015,Yes,84.85
2610,Delhi,5,2,2005,Yes,122.55
1881,Kolkata,5,1,2008,No,83.4
2774,Kolkata,1,2,1999,No,95.22
2169,Hyderabad,1,2,1998,No,78.99
1540,Chennai,4,1,1998,No,57.17
916,Mumbai,3,3,2017,No,54.97
2653,Chennai,5,2,2021,Yes,112.7
3638,Hyderabad,1,1,2003,Yes,118.59
1950,Bangalore,4,3,2022,No,82.49
2731,Bangalore,5,1,2018,No,95.85
1812,Pune,4,2,2021,No,87.49
2464,Kolkata,5,3,2021,No,92.83
1881,Pune,4,1,2022,No,88.57
1433,Mumbai,2,3,2008,No,72.26
1312,Chennai,3,3,2007,Yes,66.76
3649,Delhi,3,3,2010,Yes,143.61
1919,Hyderabad,5,3,2015,Yes,112.77
1941,Mumbai,4,1,2015,No,83.4
1359,Hyderabad,5,3,2018,Yes,69.98
1287,Kolkata,4,3,2016,No,64.19
1696,Mumbai,2,2,2003,No,68.16
2012,Mumbai,5,2,2001,No,92.11
1503,Hyderabad,4,3,2012,Yes,79.37
2270,Pune,4,3,2020,Yes,90.46
1380,Mumbai,3,3,2008,No,63.08
3637,Chennai,1,1,1996,Yes,133.46
3708,Mumbai,1,2,2012,Yes,142.78
3094,Delhi,1,2,2013,Yes,111.89
3947,Mumbai,2,2,1995,No,124.36
953,Pune,4,1,2007,Yes,55.29
2479,Pune,1,1,2021,No,76.48
1796,Delhi,5,2,2021,No,98.3
3957,Mumbai,2,2,2009,No,113.17
3544,Mumbai,5,1,1996,No,141.26
2043,Hyderabad,2,1,2002,Yes,95.39
1892,Mumbai,5,2,2001,No,93.28
3918,Pune,1,2,2005,Yes,140.04
1808,Mumbai,2,1,1995,No,62.68
2941,Pune,4,3,2006,Yes,124.98
2573,Pune,2,3,2003,No,87.85
1757,Chennai,1,2,2014,No,54.56
3859,Bangalore,3,2,2014,Yes,147.63
1252,Pune,4,1,2008,Yes,58.5
2027,Bangalore,1,3,2002,No,75.52
3759,Chennai,2,2,2014,Yes,137.14
3065,Bangalore,1,2,2006,No,102.24
3321,Bangalore,2,1,2020,No,108.78
3279,Kolkata,2,2,1998,Yes,113.66
3188,Kolkata,4,3,2010,Yes,153.95
1350,Delhi,2,3,2018,No,59.44
2435,Delhi,3,1,2001,Yes,104.93
2112,Hyderabad,1,1,2001,Yes,84.45
2557,Bangalore,1,3,2008,No,85.92
1156,Pune,2,3,2006,No,44.81
2870,Mumbai,2,2,2022,No,84.92
2585,Mumbai,4,3,2015,No,110.68
3369,Chennai,4,1,2004,Yes,136.45
2581,Pune,2,1,2008,No,95.83
3971,Hyderabad,5,1,2002,No,148.62
3649,Bangalore,2,2,2006,Yes,138.47
3609,Delhi,3,2,2022,Yes,157.48
3289,Mumbai,1,2,2015,No,107.12
2431,Bangalore,5,1,1997,No,95.45
3616,Mumbai,5,2,2009,Yes,153.75
1815,Delhi,5,1,2022,No,67.23
2148,Delhi,1,2,2008,Yes,96.58
1315,Hyderabad,4,3,2010,Yes,84.72
3887,Pune,5,2,2004,Yes,164.22
3639,Bangalore,3,2,1997,No,124.42
1135,Bangalore,2,2,2019,No,38.2
2582,Chennai,5,2,1995,No,102.46
3105,Chennai,1,3,2000,No,88.82
1296,Delhi,1,2,2017,Yes,51.53
1695,Kolkata,3,1,2002,Yes,66.42
3007,Pune,5,2,2000,No,131.51
1651,Bangalore,4,1,2008,Yes,80.82
2487,Pune,1,2,1996,Yes,96.73
2731,Delhi,1,2,2017,Yes,105.08
3537,Delhi,3,2,1995,Yes,134.47
3227,Chennai,5,2,2021,Yes,166.66
2368,Hyderabad,3,3,2001,Yes,97.09
1756,Chennai,4,2,1998,Yes,107.68
3538,Bangalore,1,1,1995,Yes,109.21
2436,Pune,2,1,2003,No,100.71
2091,Delhi,2,3,2011,Yes,71.78
2240,Chennai,2,3,2012,No,87.06
1991,Pune,3,1,2019,Yes,80.92
1866,Delhi,4,1,2005,No,90.12
1084,Pune,2,2,2021,Yes,44.39
3244,Hyderabad,1,2,2019,No,120.64
811,Mumbai,5,2,2000,Yes,49.07
2430,Mumbai,3,1,1996,Yes,101.84
3346,Chennai,4,3,2009,Yes,133.59
1553,Mumbai,4,3,2007,Yes,91.19
2882,Kolkata,2,3,1996,No,114.63
3574,Delhi,2,1,2004,No,120.98
3696,Chennai,1,3,2022,Yes,135.14
889,Pune,4,3,2004,No,37.44
1575,Bangalore,5,2,2005,No,78.71
3452,Kolkata,4,3,2016,No,134.21
3817,Kolkata,3,1,2009,No,150.68
2425,Mumbai,3,2,2005,Yes,97.54
3869,Mumbai,4,1,2000,No,130.28
1217,Kolkata,2,1,1995,Yes,46.01
914,Chennai,2,3,2004,No,45.97
1416,Delhi,2,3,1997,No,36.96
1625,Mumbai,2,3,1995,Yes,76.41
2449,Pune,2,1,1995,No,93.78
2316,Delhi,1,1,1998,Yes,81.87
3946,Mumbai,5,1,1998,No,142.74
1212,Hyderabad,4,3,2012,Yes,82.64
1528,Hyderabad,3,2,2008,Yes,69.78
3868,Mumbai,3,2,2005,Yes,134.97
3608,Kolkata,5,1,2014,No,127.39
1475,Pune,4,1,2020,No,73.22
2692,Kolkata,1,2,1999,Yes,112.16
3304,Mumbai,3,3,2012,Yes,117.28
3767,Kolkata,3,3,1996,No,128.37
3039,Delhi,1,1,2004,No,91.73
3586,Bangalore,5,3,2011,No,156.95
1922,Bangalore,3,3,2019,No,62.32
2371,Mumbai,4,3,2000,Yes,118.41
1777,Chennai,4,1,2016,No,76.32
1808,Delhi,3,2,1998,No,69.55
2943,Bangalore,2,3,2009,Yes,129.97
2487,Chennai,1,3,1996,Yes,102.78
3510,Bangalore,4,3,2004,No,125.87
836,Chennai,1,3,2001,Yes,63.39
2348,Mumbai,5,1,1996,No,102.39
3126,Hyderabad,3,2,2020,Yes,107.11
3064,Kolkata,3,1,2013,Yes,129.34
3714,Chennai,2,2,2005,Yes,137.07
1672,Mumbai,3,2,2008,Yes,66.01
2621,Hyderabad,2,2,2019,Yes,101.12
2096,Kolkata,3,2,2004,Yes,96.38
2909,Chennai,2,1,1996,No,79.58
1395,Kolkata,5,1,1995,No,67.48
2703,Chennai,4,3,2016,Yes,129.84
